,train_id,subject,accuracy,correct,incorrect,error_rate,batch_size,epochs
250,29102024_134048,only-year,"84,61538461538461",77,14,"15,384615384615385",30,10
251,29102024_134048,only-compound,"82,41758241758241",75,16,"17,582417582417584",30,10
252,29102024_134419,sentiment,"85,71428571428571",78,13,"14,285714285714285",30,10
253,29102024_134419,only-pos-neg-neu,"75,82417582417582",69,22,"24,175824175824175",30,10
254,29102024_134419,only-year-compound,"86,81318681318682",79,12,"13,186813186813188",30,10
255,29102024_134419,only-text,"81,31868131868131",74,17,"18,681318681318682",30,10
256,29102024_134419,only-year,"82,41758241758241",75,16,"17,582417582417584",30,10
257,29102024_134419,only-compound,"80,21978021978022",73,18,"19,78021978021978",30,10
258,29102024_134749,sentiment,"81,31868131868131",74,17,"18,681318681318682",30,10
259,29102024_134749,only-pos-neg-neu,"80,21978021978022",73,18,"19,78021978021978",30,10
260,29102024_134749,only-year-compound,"76,92307692307693",70,21,"23,076923076923077",30,10
261,29102024_134749,only-text,"75,82417582417582",69,22,"24,175824175824175",30,10
262,29102024_134749,only-year,"83,51648351648352",76,15,"16,483516483516482",30,10
263,29102024_134749,only-compound,"83,51648351648352",76,15,"16,483516483516482",30,10
264,29102024_135120,sentiment,"84,61538461538461",77,14,"15,384615384615385",30,10
265,29102024_135120,only-pos-neg-neu,"80,21978021978022",73,18,"19,78021978021978",30,10
266,29102024_135120,only-year-compound,"85,71428571428571",78,13,"14,285714285714285",30,10
267,29102024_135120,only-text,"79,12087912087912",72,19,"20,87912087912088",30,10
268,29102024_135120,only-year,"87,91208791208791",80,11,"12,087912087912088",30,10
269,29102024_135120,only-compound,"79,12087912087912",72,19,"20,87912087912088",30,10
270,29102024_135451,sentiment,"79,12087912087912",72,19,"20,87912087912088",30,10
271,29102024_135451,only-pos-neg-neu,"82,41758241758241",75,16,"17,582417582417584",30,10
272,29102024_135451,only-year-compound,"82,41758241758241",75,16,"17,582417582417584",30,10
273,29102024_135451,only-text,"79,12087912087912",72,19,"20,87912087912088",30,10
274,29102024_135451,only-year,"83,51648351648352",76,15,"16,483516483516482",30,10
275,29102024_135451,only-compound,"79,12087912087912",72,19,"20,87912087912088",30,10
276,29102024_135831,sentiment,"78,02197802197803",71,20,"21,978021978021978",30,10
277,29102024_135831,only-pos-neg-neu,"81,31868131868131",74,17,"18,681318681318682",30,10
278,29102024_135831,only-year-compound,"86,81318681318682",79,12,"13,186813186813188",30,10
279,29102024_135831,only-text,"84,61538461538461",77,14,"15,384615384615385",30,10
280,29102024_135831,only-year,"86,81318681318682",79,12,"13,186813186813188",30,10
281,29102024_135831,only-compound,"82,41758241758241",75,16,"17,582417582417584",30,10
282,29102024_140213,sentiment,"86,81318681318682",79,12,"13,186813186813188",30,10
283,29102024_140213,only-pos-neg-neu,"84,61538461538461",77,14,"15,384615384615385",30,10
284,29102024_140213,only-year-compound,"87,91208791208791",80,11,"12,087912087912088",30,10
285,29102024_140213,only-text,"85,71428571428571",78,13,"14,285714285714285",30,10
286,29102024_140213,only-year,"86,81318681318682",79,12,"13,186813186813188",30,10
287,29102024_140213,only-compound,"83,51648351648352",76,15,"16,483516483516482",30,10
288,29102024_140614,sentiment,"80,21978021978022",73,18,"19,78021978021978",30,10
289,29102024_140614,only-pos-neg-neu,"80,21978021978022",73,18,"19,78021978021978",30,10
290,29102024_140614,only-year-compound,"85,71428571428571",78,13,"14,285714285714285",30,10
291,29102024_140614,only-text,"80,21978021978022",73,18,"19,78021978021978",30,10
292,29102024_140614,only-year,"83,51648351648352",76,15,"16,483516483516482",30,10
293,29102024_140614,only-compound,"78,02197802197803",71,20,"21,978021978021978",30,10
294,29102024_141016,sentiment,"81,31868131868131",74,17,"18,681318681318682",30,10
295,29102024_141016,only-pos-neg-neu,"82,41758241758241",75,16,"17,582417582417584",30,10
296,29102024_141016,only-year-compound,"83,51648351648352",76,15,"16,483516483516482",30,10
297,29102024_141016,only-text,"80,21978021978022",73,18,"19,78021978021978",30,10
298,29102024_141016,only-year,"80,21978021978022",73,18,"19,78021978021978",30,10
299,29102024_141016,only-compound,"81,31868131868131",74,17,"18,681318681318682",30,10
300,29102024_191425,sentiment,"78,02197802197803",71,20,"21,978021978021978",30,10
301,29102024_191425,only-pos-neg-neu,"85,71428571428571",78,13,"14,285714285714285",30,10
302,29102024_191425,only-year-compound,"90,10989010989012",82,9,"9,89010989010989",30,10
303,29102024_191425,only-text,"83,51648351648352",76,15,"16,483516483516482",30,10
304,29102024_191425,only-year,"91,20879120879121",83,8,"8,791208791208792",30,10
305,29102024_191425,only-compound,"84,61538461538461",77,14,"15,384615384615385",30,10
306,29102024_191751,sentiment,"80,21978021978022",73,18,"19,78021978021978",30,10
307,29102024_191751,only-pos-neg-neu,"91,20879120879121",83,8,"8,791208791208792",30,10
308,29102024_191751,only-year-compound,"90,10989010989012",82,9,"9,89010989010989",30,10
309,29102024_191751,only-text,"92,3076923076923",84,7,"7,6923076923076925",30,10
310,29102024_191751,only-year,"87,91208791208791",80,11,"12,087912087912088",30,10
311,29102024_191751,only-compound,"90,10989010989012",82,9,"9,89010989010989",30,10
312,29102024_192114,sentiment,"83,51648351648352",76,15,"16,483516483516482",30,10
313,29102024_192114,only-pos-neg-neu,"82,41758241758241",75,16,"17,582417582417584",30,10
314,29102024_192114,only-year-compound,"87,91208791208791",80,11,"12,087912087912088",30,10
315,29102024_192114,only-text,"85,71428571428571",78,13,"14,285714285714285",30,10
316,29102024_192114,only-year,"80,21978021978022",73,18,"19,78021978021978",30,10
317,29102024_192114,only-compound,"86,81318681318682",79,12,"13,186813186813188",30,10
318,29102024_192438,sentiment,"80,21978021978022",73,18,"19,78021978021978",30,10
319,29102024_192438,only-pos-neg-neu,"68,13186813186813",62,29,"31,868131868131865",30,10
320,29102024_192438,only-year-compound,"89,01098901098901",81,10,"10,989010989010989",30,10
321,29102024_192438,only-text,"83,51648351648352",76,15,"16,483516483516482",30,10
322,29102024_192438,only-year,"90,10989010989012",82,9,"9,89010989010989",30,10
323,29102024_192438,only-compound,"80,21978021978022",73,18,"19,78021978021978",30,10
324,29102024_192801,sentiment,"87,91208791208791",80,11,"12,087912087912088",30,10
325,29102024_192801,only-pos-neg-neu,"72,52747252747253",66,25,"27,472527472527474",30,10
326,29102024_192801,only-year-compound,"83,51648351648352",76,15,"16,483516483516482",30,10
327,29102024_192801,only-text,"80,21978021978022",73,18,"19,78021978021978",30,10
328,29102024_192801,only-year,"84,61538461538461",77,14,"15,384615384615385",30,10
329,29102024_192801,only-compound,"71,42857142857143",65,26,"28,57142857142857",30,10
330,29102024_193128,sentiment,"82,41758241758241",75,16,"17,582417582417584",30,10
331,29102024_193128,only-pos-neg-neu,"80,21978021978022",73,18,"19,78021978021978",30,10
332,29102024_193128,only-year-compound,"87,91208791208791",80,11,"12,087912087912088",30,10
333,29102024_193128,only-text,"82,41758241758241",75,16,"17,582417582417584",30,10
334,29102024_193128,only-year,"83,51648351648352",76,15,"16,483516483516482",30,10
335,29102024_193128,only-compound,"85,71428571428571",78,13,"14,285714285714285",30,10
336,29102024_193510,sentiment,"83,51648351648352",76,15,"16,483516483516482",30,10
