title,writers,text,year,neg,neu,pos,compound
"Old Siam, Sir",Paul McCartney,"In a village in Old Siam, sir, there's a lady who's lost her way. In an effort to find a man, sir, she found herself in the old UK. She waited 'round in Walthamstowe, she skated 'round in Scarborough. She waited 'round in Walthamstowe, she skated 'round in Scarborough. [SEP*] In a village in old east end, sir, she met a fellow who made her real. Took her rushes to show, this man, sir, he met her dad at the wedding meal. [SEP*] In a letter from Old Siam, sir, came an awful tale of woe. She decided the only answer was to get off a pile of dough. She waited 'round in Walthamstowe, she skated 'round in Scarborough. She waited 'round in Walthamstowe, she skated 'round in Scarborough. [SEP*] When a relative told her man, sir, he directed her not to stay. In a village in Old Siam, sir, there's a lady who's lost her way. [SEP*] In a village in Old Siam, sir, there's a lady who's lost her way. In an effort to find a man, sir, she found herself in the old UK. She waited 'round in Walthamstowe, she skated 'round in Scarborough. She waited 'round in Walthamstowe, she skated 'round in Scarborough. [SEP*] In a village in Old Siam, sir, there's a lady who's lost her way. In an effort to find a man, sir, she found herself in the old UK. Walthamstowe, Scarborough...",1979,0.066,0.934,0.0,-0.9186
So Bad,Paul McCartney,"There is a pain inside my heart You mean so much to me Girl, I love you Girl, I love you so bad[SEP*] And if you leave, my pain will go But that's no good to me Girl, I love you Yes, I love you so bad[SEP*] Well, it feels so good Sometimes it feels so bad This is worse than anything I've ever had[SEP*] There was a pain, but now you're here And I don't fear a thing Girl, I love you Yes, I love you so bad[SEP*] And she said ""Boy, I love you Boy, I love you so bad""[SEP*] Girl, I love you (I love) girl, I love you so bad (I love, I love)[SEP*] Well, it feels so good Sometimes it feels so bad This is worse than anything I've ever had[SEP*] There was a pain, but now you're near And I don't fear a thing (I love) girl, I love you (I love) girl, I love you so bad (I love, I love)[SEP*] And she said (I love) ""Boy, I love you (I love) Boy, I love you so bad""[SEP*] (I love) girl, I love you (I love) girl, I love you[SEP*]",1983,0.212,0.391,0.397,0.9971
Andy Warhol,David Bowie,"Like to take a cement fix Be a standing cinema Dress my friends up just for show See them as they really are Put a peephole in my brain Two new Pence to have a go Like to be a gallery Put you all inside my show [SEP*] Andy Warhol looks a scream Hang him on my wall Andy Warhol, Silver Screen Can't tell them apart at all [SEP*] Andy walking, Andy tired Andy take a little snooze Tie him up when he's fast asleep Send him on a pleasant cruise [SEP*] When he wakes up on the sea Sure to think of me and you He'll think about paint and he'll think about glue What a jolly boring thing to do [SEP*] Andy Warhol looks a scream Hang him on my wall Andy Warhol, Silver Screen Can't tell them apart at all [SEP*] Andy Warhol looks a scream Hang him on my wall Andy Warhol, Silver Screen Can't tell them apart at all",1971,0.079,0.819,0.102,0.5719
It's Hard to Be a Saint in the City,Bruce Springsteen,"I had skin like leather and the diamond-hard look of a cobra I was born blue and weathered but I burst just like a supernova I could walk like Brando right into the sun Then dance just like a Casanova[SEP*] With my blackjack and jacket and hair slicked sweet Silver star studs on my duds like a Harley in heat When I strut down the street I could feel its heartbeat The sisters fell back and said ""Don't that man look pretty""[SEP*] The cripple on the corner cried out ""Nickels for your pity"" Them gasoline boys downtown sure talk gritty It's so hard to be a saint in the city I was the king of the alley, mama, I could talk some trash[SEP*] I was the prince of the paupers crowned downtown at the beggar's bash I was the pimp's main prophet I kept everything cool Just a backstreet gambler with the luck to lose And when the heat came down it was left on the ground[SEP*] The devil appeared like Jesus through the steam in the street Showin' me a hand I knew even the cops couldn't beat I felt his hot breath on my neck as I dove into the heat It's so hard to be a saint when you're just a boy out on the street[SEP*] And the sages of the subway sit just like the living dead As the tracks clack out the rhythm their eyes fixed straight ahead They ride the line of balance and hold on by just a thread But it's too hot in these tunnels you can get hit up by the heat[SEP*] You get up to get out at your next stop but they push you back down in your seat Your heart starts beatin' faster as you struggle to your feet Then you're outa that hole and back up on the street And them South Side sisters sure look pretty[SEP*] The cripple on the corner cries out ""Nickels for your pity"" And them downtown boys they sure talk gritty It's so hard to be a saint in the city",1973,0.104,0.752,0.144,0.9382
1984,David Bowie,"Someday they won't let you, now you must agree The times they are a-telling, and the changing isn't free You've read it in the tea leaves, and the tracks are on TV Beware the savage jaw Of 1984[SEP*] They'll split your pretty cranium and fill it full of air And tell that you're 80, but, brother, you won't care You'll be shooting up on anything, tomorrow's never there Beware the savage jaw Of 1984[SEP*] Come see, come see, remember me? We played out an all-night movie role You said it would last, but I guess we enrolled In 1984 (Who could ask for more?) 1984 (Who could ask for mo-o-o-o-ore?) (Mo-o-o-o-ore)[SEP*] I'm looking for a vehicle, I'm looking for a ride I'm looking for a party, I'm looking for a side I'm looking for the treason that I knew in '65 Beware the savage jaw Of 1984[SEP*] Come see, come see, remember me? We played out an all-night movie role You said it would last, but I guess we enrolled In 1984 (Who could ask for more?) 1984 (Who could ask for mo-o-o-o-ore?) (Mo-o-o-o-ore)",1974,0.101,0.831,0.068,-0.8178
CMon People,Paul McCartney,"Well, we're going to, yeah, we're going to Get it right this time We're going to, really going to Raise it to the sky People are ready to forgive a few mistakes But let's get started, form a party Don't you know how long it takes?[SEP*] C'mon people, let the fun begin We've got a future and it's rushing in Call all the minstrels from the ancient shrine Pass down the message that it's right this time[SEP*] Well, I'm trying to, yeah, I'm crying to Lay it on the line We're trying to, really dying to Get it right this time So many yearning for the way it's gonna be Believe it when you see it happening to you You know it's real[SEP*] C'mon people, let the world begin We've got a future and it's charging in We'll make the best of all we have and more We'll do what never has been done before Oh yeah Oh yeah, oh yeah Oh yeah Oh yeah, oh yeah[SEP*] Well, I'm going to, yeah, I'm going to Get it right this time I'm going to, really going to Raise it to the sky I must admit I may have made a few mistakes But let's get started, from a party Don't you know how long it takes?[SEP*] So c'mon people, let the fun begin We've got a future and it's rushing in Call all the minstrels from the ancient shrine Pass down the message that it's right this time Oh yeah Oh yeah, oh yeah Oh yeah Oh yeah, oh yeah[SEP*] C'mon people, let the world begin We've got a future and it's charging in So c'mon people C'mon, c'mon, c'mon, c'mon, c'mon, c'mon C'mon people, oh yeah C'mon, c'mon Yeah, c'mon people",1993,0.027,0.73,0.243,0.9968
Here Today,Paul McCartney,"And if I said I really knew you well What would your answer be If you were here today? Ooh Here today [SEP*] Well, knowing you, you'd probably laugh And say that we were worlds apart If you were here today, ooh Here today [SEP*] But as for me I still remember how it was before And I am holding back the tears no more Ooh, I love you, ooh [SEP*] What about the time we met? (What about the time we met?) Well, I suppose that you could say that we were playing hard to get Didn't understand a thing But we could always sing [SEP*] What about the night we cried? (What about the night we cried?) Because there wasn't any reason left to keep it all inside? Never understood a word But you were always there with a smile [SEP*] And if I say I really loved you And was glad you came along Then you were here today, ooh For you were in my song, ooh Here today",1982,0.055,0.778,0.167,0.97
The Ballad of Frankie Lee and Judas Priest,Bob Dylan,"Frankie Lee and Judas Priest They were the best of friends So when Frankie Lee needed money one day Judas quickly pulled out a roll of tens placed them on a footstool Just above the plotted plain Sayin', ""Take your pick, Frankie Boy My loss will be your gain""[SEP*] Well, Frankie Lee, he sat right down Put his fingers to his chin With the cold eyes of Judas on him His head began to spin ""Could ya please not stare at me like that, "" he said ""It's just my foolish pride But sometimes a man must be alone And this is no place to hide""[SEP*] Well, Judas, he just winked and said ""All right, I'll leave you here But you'd better hurry up and choose Which of those bills you want, before they all disappear"" ""I'm gonna start my pickin' right now Just tell me where you'll be"" Judas pointed down the road And said, ""Eternity""[SEP*] ""Eternity?"", said Frankie Lee With a voice as cold as ice ""That's right"", said Judas, ""Eternity Though you might call it 'Paradise'"" ""I don't call it anything"" Said Frankie Lee with a smile ""All right"", said Judas Priest ""I'll see you after a while""[SEP*] Well, Frankie Lee, he sat back down Feelin' low and mean When just then a passing stranger Burst upon the scene Saying, ""Are you Frankie Lee, the gambler Whose father's deceased? Well, if you are, there's a fellow callin' you, down the road And they say his name is Priest""[SEP*] ""Oh, yes, he is my friend"" Said Frankie Lee in fright ""I do recall him very well In fact, he just left my sight"" ""Yes, that's the one, "" said the stranger As quiet as a mouse ""Oh, my message is, he's down the road Stranded in a house""[SEP*] Well, Frankie Lee, he panicked He dropped everything and ran Until he came on to the spot Where Judas Priest did stand ""What kind of house is this, "" he said ""Where I have come to roam?"" ""It's not a house"", says Judas Priest ""It's not a house, it's a home""[SEP*] Well, Frankie Lee, he trembled He soon lost all control Over everything which he had made While the mission bells did toll He just stood there staring At that big house as bright as any sun With four and twenty windows And a woman's face in every one[SEP*] Well, up the stairs ran Frankie Lee With a soulful, bounding leap And foaming at the mouth He began to make his midnight creep For sixteen nights and days he raved But on the seventeenth he burst Into the arms of Judas Priest Which is where he died of thirst[SEP*] No one tried to say a thing When they carried him out in jest Except, of course, the little neighbor boy Who carried him to rest And he just walked along, alone With his guilt so well concealed And muttered underneath his breath ""Nothing is revealed""[SEP*] Well, the moral of the story The moral of this song Is simply that one should never be Where one does not belong So when you see your neighbor carrying somethin' Help him with his load And don't go mistaking Paradise For that home across the road",1967,0.08,0.811,0.109,0.9386
Dirge,Bob Dylan,"I hate myself for lovin' you and the weakness that it showed You were just a painted face on a trip down Suicide Road. The stage was set, the lights went out all around the old hotel, I hate myself for lovin' you and I'm glad the curtain fell.[SEP*] I hate that foolish game we played and the need that was expressed And the mercy that you showed to me, who ever would have guessed? I went out on Lower Broadway and I felt that place within, That hollow place where martyrs weep and angels play with sin.[SEP*] Heard your songs of freedom and man forever stripped, Acting out his folly while his back is being whipped. Like a slave in orbit, he's beaten 'til he's tame, All for a moment's glory and it's a dirty, rotten shame.[SEP*] There are those who worship loneliness, I'm not one of them, In this age of fiberglass I'm searching for a gem. The crystal ball up on the wall hasn't shown me nothing yet, I've paid the price of solitude, but at last I'm out of debt.[SEP*] Can't recall a useful thing you ever did for me 'Cept pat me on the back one time when I was on my knees. We stared into each other's eyes 'til one of us would break, No use to apologize, what diff'rence would it make?[SEP*] So sing your praise of progress and of the Doom Machine, The naked truth is still taboo whenever it can be seen. Lady Luck, who shines on me, will tell you where I'm at, I hate myself for lovin' you, but I should get over that.",1973,0.154,0.739,0.107,-0.9131
Can You Hear Me?,David Bowie,"Once we were lovers Can they understand? Closer than others I was your I was your man Don't talk of heartaches Ooh, I remember them all And I'm checking you out one day To see if I'm faking it all[SEP*] Can you hear me? Can you feel me inside? Show your love, love Take it in right (Take it in right) Take it in right (Take it in right)[SEP*] There's been many others So many times Sixty new cities, and what do I What do I find? I want love so badly I want you most of all You know, it's harder to take it from anyone It's harder to fall Can you hear me call you?[SEP*] Can you (Hear me?) Can you (Feel me inside?) Show your (Love, love) Take it in right (Take it in right) Take it in right (Take it in right)[SEP*] Well, can you hear me? (Yeah) Can you feel me inside? (I do) Show your love Show me your sweet, sweet love (Love, love) Show me your love Take it in right (Take it in right) Take it in right, yeah (Take it in right) Take it in right to your love life, baby",1975,0.027,0.77,0.203,0.9909
Everything Is Broken,Bob Dylan,"Broken lines, broken strings Broken threads, broken springs Broken idols, broken heads People sleeping in broken beds Ain't no use jiving, ain't no use joking Everything is broken[SEP*] Broken bottles, broken plates Broken switches, broken gates Broken dishes, broken parts Streets are filled with broken hearts Broken words never meant to be spoken Everything is broken[SEP*] Seem like every time you stop and turn around Something else just hit the ground[SEP*] Broken cutters, broken saws Broken buckles, broken laws Broken bodies, broken bones Broken voices on broken phones Take a deep breath, feel like you're choking Everything is broken[SEP*] Every time you leave and go off someplace Things fall to pieces in my face[SEP*] Broken hands on broken ploughs Broken treaties, broken vows Broken pipes, broken tools People bending broken rules Hound dog howling, bull frog croaking Everything is broken",1989,0.518,0.442,0.04,-0.9985
As I Went Out One Morning,Bob Dylan,"As I went out one morning To breathe the air around Tom Paine's I spied the fairest damsel That ever did walk in chains I offer'd her my hand She took me by the arm I knew that very instant She meant to do me harm[SEP*] Depart from me this moment I told her with my voice Said she, but I don't wish to Said I, But you have no choice I beg you, sir, she pleaded From the corners of her mouth I will secretly accept you And together we'll fly south[SEP*] Just then Tom Paine, himself Came running from across the field Shouting at this lovely girl And commanding her to yield And as she was letting go her grip Up Tom Paine did run I'm sorry, sir, he said to me I'm sorry for what she's done",1967,0.074,0.846,0.08,0.6011
Brilliant Disguise,Bruce Springsteen,"I hold you in my arms As the band plays What are those words whispered, baby Just as you turn away? [SEP*] I saw you last night Out on the edge of town I want to read your mind to know Just what I've got in this new thing I've found [SEP*] So tell me what I see When I look in your eyes? Is that you, baby Or just a brilliant disguise? [SEP*] I heard somebody call your name From underneath our willow I saw something tucked in shame Underneath your pillow [SEP*] Well, I've tried so hard baby But I just can't see What a woman like you Is doing with me [SEP*] So tell me who I see When I look in your eyes? Is that you, baby Or just a brilliant disguise? [SEP*] Now look at me, baby Struggling to do everything right And then it all falls apart Oh, when out go the lights [SEP*] I'm just a lonely pilgrim I walk this world in wealth I want to know if it's you I don't trust 'Cause I damn sure don't trust myself [SEP*] Now, you play the loving woman I'll play the faithful man But just don't look too close Into the palm of my hand [SEP*] Oh, we stood at the altar The gypsy swore our future was bright But come the wee-wee hours Well maybe, baby, the gypsy lied [SEP*] So when you look at me You better look hard and look twice Is that me, baby Or just a brilliant disguise? [SEP*] Tonight our bed is cold I'm lost in the darkness of our love God have mercy on the man Who doubts what he's sure of",1987,0.114,0.655,0.232,0.992
I Threw It All Away,Bob Dylan,"I once held her in my arms She said she would always stay But I was cruel I treated her like a fool I threw it all away[SEP*] Once I had mountains in the palm of my hand And rivers that ran through every day I must have been mad I never knew what I had Until I threw it all away[SEP*] Love is all there is, it makes the world go 'round Love and only love, it can't be denied No matter what you think about it You just won't be able to do without it Take a tip from one who's tried[SEP*] So if you find someone that gives you all of her love Take it to your heart, don't let it stray For one thing that's certain You will surely be a-hurtin' If you throw it all away If you throw it all away",1969,0.075,0.681,0.245,0.9855
Darkness on the Edge of Town,Bruce Springsteen,"They're still racing out at the Trestles But that blood it never burned in her veins Now I hear she's got a house up in Fairview And a style she's trying to maintain[SEP*] Well if she wants to see me You can tell her that I'm easily found Tell her there's a spot out 'neath Abram's Bridge And tell her there's a darkness on the edge of town There's a darkness on the edge of town[SEP*] Well, everybody's got a secret, Sonny Something that they just can't face Some folks spend their whole lives trying to keep it They carry it with them every step that they take[SEP*] 'Til someday they just cut it loose Cut it loose or let it drag 'em down Where no one asks any questions Or looks too long in your face In the darkness on the edge of town In the darkness on the edge of town[SEP*] Now some folks are born into a good life And other folks get it anyway, anyhow Well now I lost my money and I lost my wife Them things don't seem to matter much to me now[SEP*] Tonight I'll be on that hill 'cause I can't stop I'll be on that hill with everything I got Lives on the line where dreams are found and lost I'll be there on time and I'll pay the cost For wanting things that can only be found In the darkness on the edge of town In the darkness on the edge of town",1978,0.153,0.769,0.079,-0.9504
Private Property,Paul McCartney,"private property, don't run off with it, you'll be breaking the law. Love monopoly, my philosophy, don't go fooling with private property.[SEP*] 'Cause she's mine, she belongs to me, and we'll get on fine as long as you agree that she's mine private property, private property.[SEP*] Private property, don't run after it, you'll be facing a charge. Have some common sense, you get off the fence, don't go fooling with private property.[SEP*] It's known when we're in a crowd, that there's gonna be no trespassing allowed. 'Cause she's mine private property, private property.[SEP*] How can I disagree? She insists that it's all for me.[SEP*]",1981,0.043,0.841,0.116,0.8029
Early Days,Paul McCartney,"They can't take it from me, if they try I lived through those early days So many times I had to change the pain to laughter Just to keep from getting crazed [SEP*] Dressed in black from head to toe Two guitars across our backs We would walk the city roads Seeking someone who would listen to the music That we were writing down at home [SEP*] But they can't take it from me, if they try I lived through those early days So many times I had to change the pain to laughter Just to keep from getting crazy [SEP*] Hair slicked back with Vaseline Like the pictures on the wall Of the local record shop Hearing noises we were destined to remember We willed the thrill to never stop [SEP*] May sweet memories of friends from the past Always come to you, when you look for them And your inspiration, long may it last May it comes to you time and time again [SEP*] Now everybody seems to have their own opinion Who did this and who did that But as for me I don't see how they can remember When they weren't where it was at [SEP*] And they can't take it from me, if they try I lived through those early days So many times I had to change the pain to laughter Just to keep from getting crazy [SEP*] I lived through those early days I lived through those early days [SEP*]",2013,0.086,0.807,0.107,0.8157
The Ties That Bind,Bruce Springsteen,"You've been hurt and you're all cried out, you say You walk down the street pushin' people out of your way You've packed your bags and all alone you wanna ride You don't want nothin', don't need no one by your side[SEP*] You're walkin' tough baby, but you're walkin' blind To the ties that bind The ties that bind Now you can't break the ties that bind[SEP*] A cheap romance, you say it's all just, just a crutch You don't want nothin' that anybody can touch You're so afraid of being somebody's fool Not walkin' tough baby, not walkin' cool[SEP*] You walk cool, but darlin', can you walk the line? And face the ties that bind The ties that bind Now you can't break the ties that bind[SEP*] Oh I'd, I'd rather feel the hurt inside, yes I would darling Than know, than know the emptiness your heart must hide Yes I would darling, yes I would darling Yes I would baby[SEP*] You sit and wonder just who's gonna stop the rain Who'll ease the sadness, who's gonna quiet your pain? It's a long dark highway and a thin white line Connecting baby, your heart to mine[SEP*] We're runnin' now but darlin' we will stand in time To face the ties that bind The ties that bind Now you can't break the ties that bind You can't forsake the ties that bind",1980,0.16,0.7,0.14,0.4449
"If You See Her, Say Hello",Bob Dylan,"If you see her, say hello She might be in Tangier She left here last early spring Is livin' there, I hear[SEP*] Say for me that I'm all right Though things get kind of slow She might think that I've forgotten her Don't tell her it isn't so[SEP*] We had a falling-out Like lovers often will And to think of how she left that night It still brings me a chill[SEP*] And though our separation It pierced me to the heart She still lives inside of me We've never been apart[SEP*] If you get close to her Kiss her once for me Always have respected her For doin' what she did and gettin' free[SEP*] Oh, whatever makes her happy I won't stand in the way Though the bitter taste still lingers on From the night I tried to make her stay[SEP*] I see a lot of people As I make the rounds And I hear her name here and there As I go from town to town[SEP*] And I've never gotten used to it I've just learned to turn it off Either I'm too sensitive Or else I'm gettin' soft[SEP*] Sundown, yellow moon I replay the past I know every scene by heart They all went by so fast[SEP*] If she's passin' back this way I'm not that hard to find Tell her she can look me up If she's got the time",1974,0.02,0.895,0.085,0.9371
From a Lover to a Friend,Paul McCartney,And when the time comes round We will be duty bound To tell the truth of what we've seen And what we haven't found Will not be going down Despite too easy ride to see From a lover to a friend Take your own advice Let me love again Now that you turned out to be Someone I can trust Someone I believe Ohh la la la How can I walk when I can't find a way I have a dilemma All I want is to tell me You're going to take it away From a lover to a friend Take your own advice Let me love again Now that you turned out to be Someone I can trust Someone I believe [SEP*] And what we haven't found Will not be going down Despite too easy ride to see From a lover to a friend You turned out to be Someone I believe From a lover to a friend Take your own advice Let me love again Ohh la la la How can I walk when I can't find a way I have a dilemma All I want is to tell me You're going to take it away From a lover to a friend From a lover to a friend From a lover to a friend Let me love again,2001,0.033,0.653,0.314,0.997
Saving Grace,Bob Dylan,"If You find it in Your heart, can I be forgiven? Guess I owe You some kind of apology. I've escaped death so many times, I know I'm only living By the saving grace that's over me.[SEP*] By this time I'd-a thought I would be sleeping In a pine box for all eternity. My faith keeps me alive, but I still be weeping For the saving grace that's over me.[SEP*] Well, the death of life, then come the resurrection, Wherever I am welcome is where I'll be. I put all my confidence in Him, my sole protection Is the saving grace that's over me.[SEP*] Well, the devil's shining light, it can be most blinding, But to search for love, that ain't no more than vanity. As I look around this world all that I'm finding Is the saving grace that's over me.[SEP*] The wicked know no peace and you just can't fake it, There's only one road and it leads to Calvary. It gets discouraging at times, but I know I'll make it By the saving grace that's over me.",1980,0.107,0.651,0.243,0.9828
Under the Red Sky,Bob Dylan,"There was a little boy and there was a little girl And they lived in an alley under the red sky There was a little boy and there was a little girl And they lived in an alley under the red sky[SEP*] There was an old man and he lived in the moon One summer's day he came passing by There was an old man and he lived in the moon And one day he came passing by[SEP*] Someday little girl, everything for you is gonna be new Someday little girl, you'll have a diamond as big as your shoe[SEP*] Let the wind blow low, let the wind blow high One day the little boy and the little girl were both baked in a pie Let the wind blow low, let the wind blow high One day the little boy and the little girl were both baked in a pie[SEP*] This is the key to the kingdom and this is the town This is the blind horse that leads you around[SEP*] Let the bird sing, let the bird fly One day the man in the moon went home and the river went dry Let the bird sing, let the bird fly The man in the moon went home and the river went dry",1990,0.033,0.956,0.011,-0.5423
All The Madmen,David Bowie,"Day after day They send my friends away To mansions cold and grey To the far side of town Where the thin men stalk the streets While the sane stay underground [SEP*] Day after day They tell me I can go They tell me I can blow To the far side of town Where it's pointless to be high 'Cause it's such a long way down [SEP*] Day after day They take some brain away Then turn my face around To the far side of town And tell me that it's real Then ask me how I feel [SEP*] Here I stand Foot in hand Talking to my wall I'm not quite right at all [SEP*] Don't set me free I'm as helpless as can be My libido's split on me Gimme some good ol' lobotomy [SEP*] 'Cause I'd rather stay here With all the madmen Than perish with the sad men Roaming free [SEP*] And I'd rather play here With all the madmen For I'm quite content They're all as sane as me [SEP*] Zane, Zane, Zane Ouvre le Chien [SEP*]",1970,0.062,0.868,0.069,0.0762
One More Cup of Coffee,Bob Dylan,"Your breath is sweet, your eyes are like two jewels in the sky Your back is straight, your hair is smooth on the pillow where you lie But I don't sense affection, no gratitude or love Your loyalty is not to me but to the stars above[SEP*] One more cup of coffee for the road One more cup of coffee 'fore I go To the valley below[SEP*] Your daddy, he's an outlaw and a wanderer by trade He'll teach you how to pick and choose, and how to throw the blade He oversees his kingdom, so no stranger does intrude His voice, it trembles as he calls out for another plate of food[SEP*] One more cup of coffee for the road One more cup of coffee 'fore I go To the valley below[SEP*] Your sister sees the future like your mama and yourself You've never learned to read or write, there's no books upon your shelf And your pleasure knows no limits, your voice is like a meadow lark But your heart is like an ocean, mysterious and dark[SEP*] One more cup of coffee for the road One more cup of coffee 'fore I go To the valley below",1975,0.021,0.775,0.204,0.9909
Is Your Love in Vain,Bob Dylan,"Do you love me, or are you just extending goodwill? Do you need me half as bad as you say, or are you just feeling guilt? I've been burned before and I know the score So you won't hear me complain Will I be able to count on you Or is your love in vain?[SEP*] Are you so fast that you cannot see that I must have solitude? When I am in the darkness, why do you intrude? Do you know my world, do you know my kind Or must I explain? Will you let me be myself Or is your love in vain?[SEP*] Well I've been to the mountain, and I've been in the wind I've been in and out of happiness I have dined with kings, I've been offered wings And I've never been too impressed[SEP*] All right, I'll take a chance, I will fall in love with you If I'm a fool, you can have the night, you can have the morning too Can you cook and sew, make flowers grow Do you understand my pain? Are you willing to risk it all Or is your love in vain?[SEP*] Can you cook and sew, make flowers grow Do you understand my pain? Are you willing to risk it all Or is your love in vain?",1978,0.135,0.708,0.157,0.8694
This Never Happened Before,Paul McCartney,I'm very sure This never happened to me before I met you and now I'm sure This never happened before[SEP*] Now I see This is the way it's supposed to be I met you and now I see This is the way it should be[SEP*] This is the way it should be for lovers They shouldn't go it alone It's not so good when you're on your own[SEP*] So come to me Now we can be what we want to be I love you and now I see This is the way it should be This is the way it should be[SEP*] This is the way it should be for lovers They shouldn't go it alone It's not so good when you're on your own[SEP*] I'm very sure This never happened to me before I met you and now I'm sure This never happened before (This never happened before) This never happened before (This never happened before) This never happened before (This never happened before),2005,0.034,0.819,0.147,0.9524
Pipes of Peaces,Paul McCartney,"I light a candle to our love In love our problems disappear But all in all, we'll soon discover That one and one is all we long to hear[SEP*] All around the world Little children being born to the world Got to give them all we can 'til the war is won Then will the work be done?[SEP*] Help them to learn (Help them to learn) Songs of joy instead of ""burn, baby, burn"" (Burn, baby, burn) Let us show them how to play the pipes of peace Play the pipes of peace[SEP*] Help me to learn Songs of joy instead of ""burn, baby, burn"" Won't you show me how to play (How to play) The pipes of peace? (Pipes of peace) Play the pipes of peace[SEP*] What do you say? (Do you say) Will the human race be run in a day? (In a day) Or will someone save this planet we're playing on? Is it the only one? What are we going to do?[SEP*] Help them to see (Help them to see) That the people here are like you and me (Like you and me) Let us show them how to play (How to play) The pipes of peace (Pipes of peace) Play the pipes of peace Ooh, ooh, ooh, ooh[SEP*] I light a candle to our love In love our problems disappear But all in all, we soon discover That one and one is all we long to hear",1983,0.045,0.641,0.313,0.9983
Seven Days,Bob Dylan,"Your breath is sweet, your eyes are like two jewels in the sky Your back is straight, your hair is smooth on the pillow where you lie But I don't sense affection, no gratitude or love Your loyalty is not to me but to the stars above[SEP*] One more cup of coffee for the road One more cup of coffee 'fore I go To the valley below[SEP*] Your daddy, he's an outlaw and a wanderer by trade He'll teach you how to pick and choose, and how to throw the blade He oversees his kingdom, so no stranger does intrude His voice, it trembles as he calls out for another plate of food[SEP*] One more cup of coffee for the road One more cup of coffee 'fore I go To the valley below[SEP*] Your sister sees the future like your mama and yourself You've never learned to read or write, there's no books upon your shelf And your pleasure knows no limits, your voice is like a meadow lark But your heart is like an ocean, mysterious and dark[SEP*] One more cup of coffee for the road One more cup of coffee 'fore I go To the valley below",1976,0.021,0.775,0.204,0.9909
Ballroom Dancing,Paul McCartney,"Well, I used to smile when I was a pup Sailing down the Nile in a china cup With the recipe for a lovely day Sticking out of my back pocket But it wasn't always such a pretty sight 'Cause we used to fight like cats and dogs Then we made it up in the ballroom Ballroom dancing made a man of me [SEP*] One, two, three, four I just plain adore your ballroom dancing Seen it on TV I got what I got from ballroom dancing Big B.D. [SEP*] Well, I used to fly when I was a kid And I didn't cry if it hurt a bit On a carpet ride to a foreign land At the time of Davy Crockett But it wasn't always such a pretty sight 'Cause we used to fight like cats and dogs Till we made it up in the ballroom Ballroom dancing made a man of me [SEP*] One, two, three, four I just plain adore your ballroom dancing Seen it on TV I got quite a lot from ballroom dancing Big B.D. [SEP*] ... I can tell you the band is ready. We're starting with the first of five dancers in this competition: that's the cha-cha-cha! [SEP*] Well, it went so fast and we all grew up Now the days that passed in the china cup Are the memories of another day And I wouldn't want to knock it But it wasn't always such a pretty sight 'Cause we used to fight like cats and dogs Then we made it up in the ballroom Ballroom dancing made a man of me [SEP*] One, two, three, four I just plain adore your ballroom dancing Seen it on TV I got quite a lot from ballroom dancing Big B.D. [SEP*]",1982,0.086,0.777,0.137,0.9419
Never Say Goodbye,Bob Dylan,"Twilight on the frozen lake North wind about to break On footprints in the snow Silence down below.[SEP*] You're beautiful beyond words You're beautiful to me You can make me cry Never say goodbye.[SEP*] My dreams are made of iron and steel With a big bouquet Of roses hanging down From the heavens to the ground.[SEP*] The crashing waves roll over me As I stand upon the sand Wait for you to come And grab hold of my hand.[SEP*] Oh, baby, baby, baby blue You'll change your last name, too You've turned your hair to brown Love to see it hangin' down.",1973,0.027,0.797,0.177,0.9552
Only Love Remains,Paul McCartney,"And if you take your love away from me, I'm only going to want it back. I'll probably pretend I didn't see, But knowing me, I'll want you back again, and again 'Til the word has lost it's meaning, And love is all that stays. only love remains.[SEP*] If you should ever feel that something's wrong, I'm going to want to put it right, To bring a happy ending to our song, I'll carry on believing in a love. If your love was to trickle through my fingers, What would it leave me with? Only love remains. Only love[SEP*] Old enough and strong enough to stretch across the world. Taking the sand inside an oyster, changing it into a pearl. Making another magic transformation, Find the right boy for the right girl.[SEP*] When all our friends have gone away and we're alone, There's nothing left to show about, Together we'll explore the great unknown. I'd say we won't be going out tonight, Let tonight be the one that we remember, When love is all that stays, Only love remains Only love remains",1986,0.049,0.634,0.317,0.9974
Be True,Bruce Springsteen,"Your scrapbook's filled with pictures of all your leading men Well baby, don't put my picture in there with them Don't make us some little girl's dream that can't ever come true That only serves to hurt and make you cry like you do [SEP*] Well baby, don't do it to me and I won't do it to you You see all the romantic movies, you dream and take the boys home But when the action fades, you're left all alone You deserve better than this, little girl, can't you see that you do? Do you need somebody to prove it to you? [SEP*] Well, you prove it to me and I'll prove it to you Now every night you go out looking for true love's satisfaction But in the morning, you end up settling for La-la-la-lights, camera, action, whoa-ooh [SEP*] And another cameo role with some bit player you're befriending You're gonna go broken-hearted looking for that happy ending Well girl, you're gonna end up just another lonely ticket sold Cryin' alone in the theater as the credits roll [SEP*] You say, I'll be like those other guys Who filled your head with pretty lies And dreams that can never come true Well baby, you be true to me And I'll be true to you",1998,0.115,0.711,0.173,0.9322
